Gesture        t_emg (s)      t_pred (s)     t_servo (s)    lat_pred (s)   lat_servo (s)  
wrist_right    60.373031      60.463630      60.733749      0.090598       0.270119       
relax          60.792816      0.000000       61.139349      0.000000       0.346533       
fist           65.808869      65.895151      66.155102      0.086282       0.259951       
thumb          67.633770      67.763085      67.987978      0.129316       0.224893       
relax          68.049386      0.000000       68.397648      0.000000       0.348262       
index          68.461300      68.547900      68.809132      0.086600       0.261232       
relax          68.876223      0.000000       69.224314      0.000000       0.348091       
fist           84.879568      84.966309      85.225878      0.086741       0.259569       
relax          85.638028      0.000000       85.986029      0.000000       0.348001       
fist           90.994768      91.076588      91.340548      0.081819       0.263960       
wrist_down     93.174661      93.261454      93.524181      0.086792       0.262727       
little         93.935514      94.027722      94.285128      0.092208       0.257406       
relax          94.343039      94.425435      94.691133      0.082396       0.265698       
middle         98.629644      98.711727      98.978019      0.082083       0.266292       
relax          98.982850      0.000000       99.332317      0.000000       0.349466       
wrist_left     99.744439      99.826226      100.093781     0.081787       0.267555       
relax          100.154529     0.000000       100.504507     0.000000       0.349977       
ring           101.634136     101.715904     101.986041     0.081768       0.270137       
relax          102.040615     0.000000       102.390205     0.000000       0.349590       
ring           104.237079     104.352381     104.601511     0.115302       0.249130       
relax          105.028265     0.000000       105.384162     0.000000       0.355897       
middle         106.523719     106.605888     106.879808     0.082169       0.273920       
ring           106.935430     107.017877     107.290418     0.082447       0.272541       
wrist_up       107.349368     107.464724     107.708574     0.115357       0.243850       
wrist_right    110.647157     110.761315     111.005343     0.114158       0.244028       
relax          113.214846     113.296825     113.567991     0.081979       0.271166       
wrist_left     114.700326     114.787162     115.052106     0.086836       0.264944       
relax          115.826226     0.000000       116.178133     0.000000       0.351907       
wrist_left     118.023377     118.105055     118.375146     0.081678       0.270091       
wrist_down     118.379510     118.464966     118.731022     0.085456       0.266056       
fist           119.148524     119.229533     119.500556     0.081009       0.271023       
relax          119.926614     0.000000       120.279764     0.000000       0.353150       
index          120.343445     120.458066     120.702024     0.114621       0.243958       
relax          121.131699     0.000000       121.486902     0.000000       0.355202       
index          121.905877     121.987595     122.257723     0.081718       0.270128       
relax          123.396079     0.000000       123.754029     0.000000       0.357950       
fist           123.817275     123.900099     124.171557     0.082824       0.271458       
relax          125.662359     0.000000       126.017496     0.000000       0.355137       
wrist_left     129.303075     129.390483     129.655866     0.087408       0.265384       
open           130.379448     130.467617     130.747885     0.088169       0.280268       
fist           147.753983     147.840433     148.106462     0.086450       0.266030       
wrist_down     149.249514     149.337353     149.604718     0.087839       0.267365       
little         151.764830     151.846831     152.116807     0.082001       0.269976       
thumb          152.180333     152.261137     152.530098     0.080804       0.268960       
wrist_right    152.591385     152.704816     152.948267     0.113431       0.243452       
relax          154.448498     0.000000       154.802397     0.000000       0.353899       
fist           159.886673     159.973889     160.238683     0.087215       0.264794       
relax          161.369450     0.000000       161.723608     0.000000       0.354158       
fist           162.147547     162.259334     162.506776     0.111788       0.247441       
relax          162.565854     0.000000       162.921349     0.000000       0.355495       
little         162.978524     163.064770     163.334044     0.086246       0.269274       
relax          163.389485     163.471325     163.742576     0.081840       0.271251       
wrist_right    167.020103     167.106989     167.371092     0.086885       0.264104       
wrist_left     167.432720     167.517242     167.784909     0.084522       0.267667       
relax          169.281204     0.000000       169.634171     0.000000       0.352967       
wrist_right    171.849947     171.958218     172.206226     0.108271       0.248007       
relax          172.981917     0.000000       173.334872     0.000000       0.352955       
wrist_left     175.183528     175.305645     175.540821     0.122117       0.235175       
wrist_right    175.960924     176.047012     176.311631     0.086087       0.264619       
relax          176.380724     0.000000       176.730777     0.000000       0.350054       
wrist_left     176.792627     176.877693     177.144994     0.085066       0.267301       
wrist_right    177.205448     177.286895     177.557795     0.081447       0.270900       
relax          177.617637     0.000000       177.970180     0.000000       0.352543       
wrist_right    178.031256     178.117237     178.381630     0.085981       0.264393       
relax          178.800255     178.914070     179.157559     0.113815       0.243489       
index          183.502906     183.584245     183.856846     0.081339       0.272601       
relax          185.350700     185.437876     185.702943     0.087176       0.265067       
index          185.765845     185.847308     186.119003     0.081463       0.271695       
relax          186.534956     186.616986     186.887475     0.082030       0.270489       
thumb          188.690430     188.778603     189.044508     0.088173       0.265906       
relax          189.113622     0.000000       189.467645     0.000000       0.354023       
little         189.527607     189.609354     189.882022     0.081747       0.272667       
relax          189.940326     0.000000       190.293558     0.000000       0.353232       
thumb          191.791629     191.873767     192.145473     0.082138       0.271705       
relax          192.210392     0.000000       192.564451     0.000000       0.354059       
thumb          192.622318     192.704728     192.975133     0.082410       0.270405       
relax          193.033963     0.000000       193.388095     0.000000       0.354131       
little         193.446276     193.534216     193.800680     0.087940       0.266464       
relax          194.936613     0.000000       195.297114     0.000000       0.360501       
little         195.365162     195.452392     195.719215     0.087231       0.266823       
relax          196.134975     0.000000       196.489107     0.000000       0.354132       
ring           196.549855     196.637423     196.904369     0.087568       0.266946       
relax          196.909188     0.000000       197.264226     0.000000       0.355038       
wrist_left     197.327576     197.403351     197.681306     0.075775       0.277955       
relax          197.739589     0.000000       198.094033     0.000000       0.354444       
ring           198.150528     198.264856     198.510311     0.114327       0.245455       
relax          198.578382     0.000000       198.932960     0.000000       0.354578       
ring           198.990156     199.072999     199.345710     0.082842       0.272712       
relax          199.405210     0.000000       199.758900     0.000000       0.353690       
ring           199.817148     199.898522     200.172328     0.081374       0.273806       
relax          200.228960     0.000000       200.584281     0.000000       0.355320       
ring           200.640828     200.723081     200.995861     0.082253       0.272780       
relax          201.411651     0.000000       201.767267     0.000000       0.355616       
ring           202.553036     202.635692     202.909249     0.082656       0.273557       
relax          203.331048     203.418476     203.685158     0.087428       0.266682       
wrist_right    209.121043     209.203193     209.474336     0.082150       0.271143       
relax          209.538050     0.000000       209.891895     0.000000       0.353844       
little         211.024327     211.105813     211.378261     0.081487       0.272448       
wrist_right    211.435060     211.558026     211.793423     0.122966       0.235397       
relax          211.862786     0.000000       212.216803     0.000000       0.354017       
little         212.221287     212.309301     212.575618     0.088013       0.266318       
relax          212.637822     0.000000       212.991581     0.000000       0.353759       
wrist_right    213.767342     213.854938     214.122101     0.087595       0.267163       
relax          214.177544     0.000000       214.533115     0.000000       0.355571       
wrist_left     217.121186     217.206483     217.474184     0.085297       0.267701       
wrist_right    218.247923     218.329627     218.599440     0.081703       0.269814       
relax          218.655632     218.737959     219.008974     0.082328       0.271015       
wrist_right    220.499691     220.581700     220.851969     0.082009       0.270269       
relax          220.910600     0.000000       221.263021     0.000000       0.352422       
wrist_right    221.267721     221.377301     221.626909     0.109580       0.249609       
relax          221.685693     0.000000       222.036272     0.000000       0.350580       
wrist_left     225.013264     225.099871     225.364458     0.086607       0.264587       
relax          225.782617     0.000000       226.134592     0.000000       0.351974       
wrist_right    227.618014     227.705533     227.971401     0.087519       0.265867       
relax          228.028591     0.000000       228.381319     0.000000       0.352729       
wrist_right    228.439549     228.520823     228.792559     0.081274       0.271736       
relax          228.852440     228.932978     229.205187     0.080538       0.272210       
wrist_left     231.766690     231.852909     232.118649     0.086219       0.265740       
relax          232.542064     0.000000       232.894534     0.000000       0.352470       
wrist_left     234.027810     234.110349     234.380615     0.082539       0.270267       
relax          235.156688     235.238076     235.508185     0.081387       0.270109       
fist           242.005715     242.091357     242.359372     0.085642       0.268015       
wrist_left     248.198004     248.280627     248.552786     0.082623       0.272159       
relax          248.557291     0.000000       248.912544     0.000000       0.355253       
little         248.971552     249.053505     249.326648     0.081953       0.273143       
relax          251.192562     0.000000       251.554233     0.000000       0.361672       
ring           251.612542     251.696776     251.965399     0.084233       0.268623       
relax          252.740078     0.000000       253.092629     0.000000       0.352551       
ring           253.867511     253.949325     254.223377     0.081814       0.274052       
relax          254.291503     0.000000       254.652002     0.000000       0.360500       
ring           254.721222     254.804031     255.076512     0.082809       0.272482       
relax          255.850806     0.000000       256.205738     0.000000       0.354932       
ring           256.989080     257.070037     257.342706     0.080957       0.272670       
relax          257.399905     0.000000       257.759239     0.000000       0.359334       
ring           257.826881     257.903008     258.181336     0.076127       0.278328       
relax          258.958579     0.000000       259.312379     0.000000       0.353800       
ring           259.378913     259.460931     259.732795     0.082018       0.271864       
relax          259.791510     0.000000       260.146924     0.000000       0.355414       
ring           260.203516     260.290956     260.558257     0.087440       0.267301       
relax          260.972717     0.000000       261.333243     0.000000       0.360526       
middle         262.472079     262.556956     262.826395     0.084877       0.269439       
relax          263.601733     0.000000       263.957125     0.000000       0.355392       
wrist_left     264.013481     264.122557     264.373521     0.109075       0.250965       
relax          264.802588     0.000000       265.157589     0.000000       0.355001       
middle         265.574556     265.657774     265.930765     0.083217       0.272991       
relax          265.994071     0.000000       266.350610     0.000000       0.356539       
middle         266.405849     266.492969     266.761790     0.087121       0.268821       
open           267.558384     267.639899     267.912598     0.081514       0.272699       
middle         267.970739     268.052615     268.326547     0.081876       0.273932       
relax          268.744512     0.000000       269.099454     0.000000       0.354942       
wrist_left     269.159501     269.240618     269.513499     0.081117       0.272882       
relax          269.570545     0.000000       269.926149     0.000000       0.355604       
index          270.702772     270.828067     271.062563     0.125295       0.234496       
relax          271.486606     0.000000       271.840625     0.000000       0.354019       
index          272.977075     273.057740     273.330130     0.080665       0.272390       
relax          278.108472     0.000000       278.462914     0.000000       0.354441       
thumb          278.527539     278.609112     278.880647     0.081574       0.271535       
relax          278.885523     0.000000       279.239186     0.000000       0.353663       
wrist_left     280.026612     280.152001     280.386083     0.125389       0.234082       
relax          280.454475     0.000000       280.807802     0.000000       0.353327       
wrist_left     280.866301     280.942263     281.220073     0.075962       0.277810       
relax          281.635422     0.000000       281.990071     0.000000       0.354649       
fist           282.051050     282.132841     282.404556     0.081791       0.271715       
relax          282.820808     0.000000       283.174609     0.000000       0.353800       
fist           283.604301     283.686441     283.958367     0.082141       0.271925       
relax          284.016866     0.000000       284.371195     0.000000       0.354330       
index          285.148873     285.236398     285.502303     0.087525       0.265906       
relax          285.929597     0.000000       286.284680     0.000000       0.355083       
index          286.349524     286.463839     286.707004     0.114314       0.243166       
wrist_down     287.839636     287.921925     288.193674     0.082289       0.271750       
index          288.969706     289.051927     289.325326     0.082222       0.273399       
relax          289.391330     0.000000       289.750948     0.000000       0.359617       
index          290.835380     290.917882     291.193817     0.082502       0.275935       
relax          293.067375     0.000000       293.420593     0.000000       0.353218       
little         306.755138     306.836279     307.107327     0.081141       0.271048       
relax          307.470730     0.000000       307.825166     0.000000       0.354436       
little         307.893827     307.978891     308.247748     0.085065       0.268856       
relax          308.979318     0.000000       309.333549     0.000000       0.354231       
thumb          309.397067     309.479329     309.750105     0.082262       0.270775       
relax          309.809732     0.000000       310.165207     0.000000       0.355476       
little         310.221793     310.304370     310.576822     0.082577       0.272452       
relax          310.633696     310.716649     310.987827     0.082953       0.271178       
wrist_right    335.871433     335.958193     336.225014     0.086760       0.266821       
thumb          336.290143     336.385316     336.643393     0.095173       0.258077       
wrist_left     337.063172     337.145622     337.417939     0.082450       0.272317       
relax          337.780862     337.860583     338.136853     0.079721       0.276270       
wrist_right    338.931423     339.018379     339.284808     0.086956       0.266429       
wrist_left     339.345795     339.426860     339.699817     0.081065       0.272957       
relax          340.064652     0.000000       340.420093     0.000000       0.355441       
wrist_left     340.489820     340.572784     340.844505     0.082965       0.271720       
relax          340.849190     0.000000       341.205162     0.000000       0.355972       
wrist_right    343.429487     343.512273     343.782981     0.082786       0.270708       
relax          344.204771     0.000000       344.557414     0.000000       0.352643       
thumb          344.989286     345.070698     345.341986     0.081412       0.271288       
relax          345.401707     0.000000       345.756676     0.000000       0.354969       
wrist_right    345.812701     345.894528     346.167234     0.081827       0.272706       
relax          346.224473     0.000000       346.578111     0.000000       0.353638       
little         347.357654     347.440171     347.712162     0.082517       0.271991       
wrist_down     347.779321     347.887577     348.138980     0.108255       0.251403       
fist           348.207199     348.289819     348.561516     0.082620       0.271698       
wrist_left     348.980485     349.062478     349.335619     0.081994       0.273141       
relax          349.392000     0.000000       349.747037     0.000000       0.355037       
wrist_right    351.246218     351.332656     351.599058     0.086438       0.266402       
relax          352.728890     0.000000       353.082661     0.000000       0.353771       
fist           354.534823     354.617274     354.891505     0.082451       0.274230       
relax          354.950214     0.000000       355.323802     0.000000       0.373588       
fist           355.388974     355.474076     355.751605     0.085103       0.277528       
relax          355.756230     0.000000       356.113090     0.000000       0.356860       
fist           356.182006     356.269878     356.537535     0.087872       0.267657       
ring           356.594736     356.678056     356.951822     0.083320       0.273767       
relax          357.020867     0.000000       357.381286     0.000000       0.360419       
little         359.603137     359.688622     359.958352     0.085484       0.269731       
thumb          360.012541     360.094214     360.365523     0.081673       0.271309       
relax          360.423542     0.000000       360.784552     0.000000       0.361010       
little         360.851363     360.937608     361.203787     0.086245       0.266179       
relax          361.266107     0.000000       361.620427     0.000000       0.354320       
little         361.678068     361.760624     362.032983     0.082555       0.272359       
relax          362.453579     0.000000       362.820696     0.000000       0.367117       
little         362.881891     362.963846     363.236535     0.081955       0.272688       
open           365.811868     365.894591     366.166841     0.082723       0.272250       
ring           369.115668     369.200785     369.469268     0.085116       0.268484       
relax          369.525143     0.000000       369.880244     0.000000       0.355101       
ring           378.159214     378.245929     378.511041     0.086716       0.265111       
relax          379.655219     0.000000       380.008061     0.000000       0.352842       
thumb          388.720769     388.803227     389.075627     0.082458       0.272400       
relax          389.144533     0.000000       389.498212     0.000000       0.353679       
index          390.991986     391.077233     391.345708     0.085247       0.268474       
relax          391.408648     0.000000       391.763786     0.000000       0.355138       
index          392.548507     392.636190     392.904000     0.087683       0.267810       
relax          394.048900     0.000000       394.404567     0.000000       0.355667       
index          394.472430     394.554091     394.827182     0.081661       0.273092       
relax          395.249254     0.000000       395.602886     0.000000       0.353632       
index          395.662388     395.747917     396.017091     0.085529       0.269175       
ring           397.873931     397.990185     398.234109     0.116253       0.243924       
relax          398.295054     0.000000       398.756858     0.000000       0.461804       
ring           412.120440     412.201869     412.473989     0.081429       0.272120       
wrist_up       412.839592     412.921917     413.195050     0.082326       0.273133       
ring           414.705703     414.787919     415.061591     0.082216       0.273671       
relax          415.131135     0.000000       415.490032     0.000000       0.358898       
fist           419.867567     419.948855     420.220085     0.081288       0.271229       
wrist_left     422.810249     422.893467     423.165931     0.083218       0.272464       
relax          423.233490     423.321012     423.588658     0.087522       0.267646       
fist           425.083439     425.170585     425.436591     0.087147       0.266006       
relax          426.943160     0.000000       427.298914     0.000000       0.355755       
wrist_right    437.787067     437.868850     438.141800     0.081783       0.272950       
relax          438.198517     0.000000       438.552754     0.000000       0.354238       
fist           456.151481     456.239046     456.504192     0.087565       0.265146       
wrist_down     458.005983     458.092137     458.362574     0.086155       0.270437       
fist           460.587399     460.675232     460.940967     0.087833       0.265734       
wrist_down     462.076788     462.198050     462.437720     0.121262       0.239670       
little         462.506316     462.589527     462.863005     0.083211       0.273478       
relax          462.917256     463.000675     463.272491     0.083419       0.271816       
fist           469.461762     469.543613     469.814496     0.081851       0.270883       
relax          470.945749     0.000000       471.298501     0.000000       0.352752       
fist           473.529131     473.611570     473.881832     0.082440       0.270262       
relax          474.658758     0.000000       475.013065     0.000000       0.354307       
thumb          475.067846     475.199067     475.427686     0.131221       0.228620       
relax          475.496734     475.579478     475.851443     0.082745       0.271965       
index          477.706643     477.787940     478.058966     0.081297       0.271026       
relax          478.118659     0.000000       478.475996     0.000000       0.357337       
wrist_right    552.639621     552.720749     552.992792     0.081128       0.272043       
relax          553.057406     0.000000       553.411791     0.000000       0.354385       
wrist_right    553.470267     553.555614     553.824708     0.085347       0.269094       
relax          553.882151     0.000000       554.242584     0.000000       0.360432       
wrist_right    556.096886     556.178761     556.451255     0.081874       0.272494       
relax          556.878288     0.000000       557.238883     0.000000       0.360595       
fist           557.307970     557.395297     557.663654     0.087327       0.268357       
relax          557.718891     0.000000       558.075334     0.000000       0.356443       
wrist_right    558.494178     558.582244     558.850457     0.088066       0.268213       
relax          558.911575     0.000000       559.267754     0.000000       0.356178       
wrist_right    559.322582     559.410253     559.677889     0.087671       0.267635       
open           559.734339     559.816740     560.090737     0.082402       0.273997       
thumb          563.758146     563.843354     564.113214     0.085207       0.269861       
little         564.174582     564.260040     564.531621     0.085458       0.271580       
relax          564.951070     0.000000       565.306297     0.000000       0.355227       
fist           566.091972     566.179024     566.447130     0.087052       0.268106       
relax          570.618670     0.000000       570.975967     0.000000       0.357297       
wrist_right    572.485596     572.567812     572.841576     0.082217       0.273763       
relax          572.896092     0.000000       573.251751     0.000000       0.355659       
fist           2.369637       2.437531       2.795077       0.067894       0.357546       
relax          4.406855       0.000000       4.819358       0.000000       0.412503       
ring           4.877585       4.962152       5.352705       0.084567       0.390553       
relax          5.416063       0.000000       5.751445       0.000000       0.335381       
little         6.102267       6.202600       6.439397       0.100333       0.236797       
relax          6.787127       0.000000       7.125097       0.000000       0.337970       
wrist_right    7.192317       7.285269       7.529212       0.092951       0.243944       
relax          8.960165       0.000000       9.298758       0.000000       0.338592       
wrist_left     10.384308      10.478462      10.722657      0.094154       0.244196       
relax          11.413306      0.000000       11.759257      0.000000       0.345951       
wrist_right    13.210292      13.305521      13.553503      0.095229       0.247982       
relax          13.907164      0.000000       14.250791      0.000000       0.343627       
ok             19.229695      19.315411      19.574495      0.085716       0.259083       
relax          19.579190      0.000000       19.927530      0.000000       0.348340       
ring           19.932250      20.012300      20.276108      0.080050       0.263808       
relax          20.330074      0.000000       20.674806      0.000000       0.344733       
thumb          26.364145      26.448395      26.709989      0.084250       0.261594       
relax          27.492465      0.000000       27.840899      0.000000       0.348434       
thumb          29.309486      29.395330      29.655432      0.085844       0.260103       
relax          29.660102      0.000000       30.010907      0.000000       0.350805       
thumb          30.065056      30.150399      30.411840      0.085343       0.261441       
relax          30.826713      0.000000       31.175430      0.000000       0.348717       
thumb          31.180027      31.272197      31.527680      0.092171       0.255483       
relax          32.641874      0.000000       32.987459      0.000000       0.345585       
ring           37.624888      37.706618      37.973094      0.081730       0.266476       
relax          39.032869      0.000000       39.385439      0.000000       0.352570       
ring           41.503824      41.591415      41.850836      0.087591       0.259421       
relax          41.855424      0.000000       42.206905      0.000000       0.351481       
thumb          43.328738      43.420073      43.676482      0.091335       0.256409       
index          43.681305      43.761988      44.027531      0.080683       0.265543       
thumb          52.606193      52.685919      52.951636      0.079726       0.265717       
relax          53.016562      0.000000       53.365273      0.000000       0.348711       
fist           55.124124      55.209855      55.469268      0.085731       0.259413       
wrist_down     55.526833      55.646477      55.876774      0.119645       0.230296       
index          56.291125      56.376828      56.637615      0.085703       0.260787       
relax          57.051763      0.000000       57.399463      0.000000       0.347700       
index          57.755635      57.837851      58.103566      0.082215       0.265716       
relax          58.813866      0.000000       59.159262      0.000000       0.345396       
index          59.218097      59.303447      59.563723      0.085349       0.260276       
relax          59.628110      0.000000       59.975066      0.000000       0.346956       
index          59.979562      60.066942      60.325926      0.087380       0.258984       
fist           60.388087      60.473811      60.733990      0.085725       0.260179       
wrist_down     60.738568      60.830377      61.086123      0.091809       0.255747       
index          61.150890      61.236775      61.497971      0.085886       0.261195       
thumb          61.859817      61.944439      62.204902      0.084622       0.260463       
fist           62.260172      62.346416      62.607019      0.086243       0.260604       
relax          65.083054      0.000000       65.431785      0.000000       0.348731       
index          65.492385      65.573029      65.839153      0.080644       0.266124       
fist           65.903138      65.983677      66.250915      0.080539       0.267238       
fist           4.332017       4.414852       4.740837       0.082835       0.325985       
relax          6.957119       0.000000       7.303592       0.000000       0.346473       
middle         9.721399       9.814330       10.055707      0.092931       0.241377       
fist           10.060439      10.153551      10.396382      0.093112       0.242831       
wrist_left     12.203797      12.290252      12.546990      0.086455       0.256737       
relax          12.604691      12.689831      12.948124      0.085140       0.258293       
fist           15.841305      15.921900      16.187208      0.080594       0.265308       
ring           17.297723      17.389281      17.650088      0.091558       0.260807       
open           17.708175      17.842129      18.063163      0.133954       0.221034       
middle         20.269221      20.350220      20.621039      0.080998       0.270819       
ok             20.687064      20.798826      21.037859      0.111762       0.239033       
relax          21.042399      0.000000       21.390335      0.000000       0.347935       
wrist_right    21.445126      21.525949      21.791400      0.080824       0.265450       
relax          22.147536      0.000000       22.492381      0.000000       0.344845       
wrist_left     22.855972      22.937155      23.208607      0.081182       0.271452       
relax          23.926623      0.000000       24.271660      0.000000       0.345036       
wrist_right    24.276418      24.371390      24.621869      0.094972       0.250479       
relax          25.731591      0.000000       26.078574      0.000000       0.346982       
middle         26.083233      26.164756      26.430635      0.081523       0.265880       
relax          26.490636      0.000000       26.837148      0.000000       0.346513       
wrist_right    27.272330      27.355586      27.626671      0.083256       0.271085       
relax          27.682300      0.000000       28.025541      0.000000       0.343241       
wrist_left     30.556866      30.643207      30.904563      0.086341       0.261356       
relax          30.964506      0.000000       31.310242      0.000000       0.345735       
wrist_right    31.666502      31.750084      32.016267      0.083583       0.266183       
relax          32.723778      0.000000       33.078681      0.000000       0.354903       
fist           33.134694      33.219349      33.490979      0.084655       0.271629       
relax          33.559608      0.000000       33.904926      0.000000       0.345319       
fist           35.022080      35.108804      35.367758      0.086724       0.258954       
relax          36.136803      0.000000       36.488349      0.000000       0.351546       
fist           37.894928      37.980404      38.241651      0.085476       0.261248       
relax          38.304985      0.000000       38.652630      0.000000       0.347645       
fist           39.019443      39.133238      39.380229      0.113795       0.246991       
middle         39.385124      39.472768      39.740731      0.087644       0.267963       
fist           39.794946      39.884484      40.152124      0.089538       0.267640       
relax          40.207732      0.000000       40.559055      0.000000       0.351323       
fist           40.620807      40.706628      40.968272      0.085821       0.261643       
relax          41.035737      0.000000       41.384546      0.000000       0.348809       
ring           41.389351      41.476285      41.739892      0.086934       0.263607       
relax          41.796664      0.000000       42.143985      0.000000       0.347321       
fist           43.222645      43.307803      43.571911      0.085158       0.264108       
relax          43.639572      0.000000       43.985135      0.000000       0.345563       
fist           4.641789       4.733620       5.065301       0.091831       0.331681       
ring           9.855001       9.954683       10.201368      0.099682       0.246685       
relax          10.259071      0.000000       10.594828      0.000000       0.335757       
wrist_left     13.671543      13.763783      14.010097      0.092240       0.246314       
relax          16.866546      0.000000       17.209497      0.000000       0.342951       
wrist_right    18.316387      18.400327      18.657644      0.083940       0.257317       
relax          19.755523      0.000000       20.097543      0.000000       0.342020       
fist           20.163328      20.292081      20.509030      0.128753       0.216949       
relax          22.711332      0.000000       23.055178      0.000000       0.343846       
index          23.464487      23.549311      23.807284      0.084824       0.257973       
relax          23.871365      0.000000       24.214213      0.000000       0.342848       
index          24.616954      24.703815      24.959930      0.086862       0.256114       
relax          25.014484      0.000000       25.355446      0.000000       0.340962       
fist           25.424180      25.512906      25.776175      0.088726       0.263269       
relax          25.837255      0.000000       26.182989      0.000000       0.345733       
ring           26.187474      26.272482      26.527768      0.085008       0.255286       
relax          26.582194      26.712869      26.930845      0.130675       0.217976       
fist           29.417943      29.527506      29.772425      0.109563       0.244919       
relax          35.425545      0.000000       35.787411      0.000000       0.361866       
